CROPS,TYPE_OF_CROP,SOIL,SEASON,SOWN,HARVESTED,WATER_SOURCE,SOIL_PH,SOIL_PH_HIGH,CROPDURATION,CROPDURATION_MAX,TEMP,MAX_TEMP,WATERREQUIRED,WATERREQUIRED_MAX,RELATIVE_HUMIDITY,RELATIVE_HUMIDITY_MAX,N,N_MAX,P,P_MAX,K,K_MAX
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,7.0,8.0,123.9,150,27.9,40,1645.0,2500,63.4,80,91.8,100,53.3,60,53.9,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,5.0,8.0,116.7,150,34.9,40,1624.2,2500,79.6,80,84.3,100,54.6,60,50.8,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.6,8.0,139.2,150,28.5,40,1099.5,2500,64.3,80,87.9,100,47.6,60,53.8,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,6.1,8.0,122.7,150,37.5,40,1755.5,2500,75.7,80,84.3,100,59.4,60,53.5,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,5.8,8.0,142.0,150,23.5,40,2158.8,2500,65.8,80,86.7,100,59.4,60,44.7,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,7.7,8.0,124.1,150,28.6,40,1786.1,2500,61.9,80,99.5,100,42.3,60,40.6,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,7.1,8.0,150.0,150,34.6,40,957.1,2500,72.5,80,94.5,100,49.6,60,59.4,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,6.0,8.0,134.7,150,34.9,40,986.5,2500,79.9,80,85.2,100,54.9,60,53.1,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.9,8.0,142.0,150,26.2,40,1312.2,2500,66.3,80,88.5,100,42.7,60,57.3,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,7.5,8.0,143.4,150,31.6,40,2430.5,2500,67.2,80,97.2,100,48.5,60,49.1,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6.1,8.0,135.7,150,20.2,40,1149.1,2500,69.3,80,99.8,100,54.4,60,44.8,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,6.7,8.0,128.8,150,32.2,40,1451.8,2500,75.5,80,92.9,100,51.9,60,53.7,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,5.8,8.0,116.6,150,37.2,40,962.1,2500,75.0,80,95.9,100,57.5,60,54.5,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,6.8,8.0,135.1,150,31.6,40,1538.0,2500,66.3,80,93.6,100,45.0,60,55.1,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,7.6,8.0,130.1,150,20.9,40,1535.2,2500,67.1,80,80.2,100,40.4,60,56.5,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,6.5,8.0,128.2,150,26.9,40,1261.3,2500,63.8,80,99.6,100,46.9,60,44.0,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6.3,8.0,134.9,150,30.0,40,1199.3,2500,62.1,80,96.8,100,43.2,60,58.9,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,5.4,8.0,116.3,150,30.3,40,1672.8,2500,69.9,80,89.0,100,53.6,60,44.0,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,7.7,8.0,140.2,150,35.5,40,2042.1,2500,60.8,80,91.3,100,53.6,60,56.5,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,5.0,8.0,113.3,150,30.8,40,2072.5,2500,63.4,80,87.7,100,42.4,60,58.2,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.5,8.0,139.2,150,26.7,40,1657.1,2500,75.9,80,99.6,100,46.1,60,53.9,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,5.1,8.0,120.5,150,36.6,40,1442.5,2500,67.3,80,80.8,100,46.8,60,59.9,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6.0,8.0,130.6,150,39.2,40,911.5,2500,69.2,80,82.2,100,44.4,60,56.6,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,6.8,8.0,117.8,150,22.7,40,2464.4,2500,67.2,80,90.7,100,41.5,60,59.6,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,7.8,8.0,131.1,150,34.1,40,1814.8,2500,78.9,80,99.3,100,58.1,60,50.5,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,5.2,8.0,129.9,150,38.3,40,1236.2,2500,60.1,80,97.6,100,47.1,60,58.3,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.6,8.0,131.9,150,34.9,40,1298.1,2500,67.5,80,88.1,100,45.3,60,52.9,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,7.8,8.0,110.1,150,33.7,40,1766.4,2500,75.7,80,82.9,100,41.3,60,40.1,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,7.9,8.0,114.3,150,31.7,40,2354.1,2500,76.7,80,89.1,100,59.1,60,46.7,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,7.6,8.0,114.8,150,29.1,40,968.9,2500,67.1,80,86.2,100,41.4,60,55.4,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,7.6,8.0,119.0,150,35.4,40,1578.8,2500,75.3,80,96.6,100,47.4,60,57.5,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,5.0,8.0,131.3,150,28.2,40,2488.8,2500,75.5,80,90.0,100,43.5,60,59.9,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.7,8.0,120.7,150,31.1,40,1571.3,2500,75.1,80,81.1,100,54.5,60,54.5,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,6.6,8.0,118.4,150,29.1,40,1257.2,2500,65.5,80,90.8,100,55.7,60,41.9,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,5.4,8.0,133.5,150,25.1,40,2074.2,2500,70.3,80,85.3,100,53.5,60,42.0,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,7.0,8.0,127.3,150,39.5,40,1959.3,2500,75.7,80,90.3,100,53.6,60,57.2,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,6.7,8.0,123.5,150,36.7,40,1212.6,2500,61.2,80,93.2,100,57.2,60,47.5,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,6.0,8.0,145.6,150,20.2,40,1853.1,2500,72.8,80,81.9,100,53.7,60,57.8,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,7.6,8.0,115.5,150,35.7,40,1720.9,2500,60.2,80,91.1,100,50.9,60,44.2,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,6.0,8.0,149.1,150,29.6,40,2243.7,2500,68.9,80,96.2,100,41.1,60,44.8,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,7.8,8.0,147.3,150,38.3,40,1979.1,2500,63.7,80,94.8,100,43.8,60,54.9,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,5.5,8.0,147.7,150,25.3,40,1696.4,2500,60.6,80,94.4,100,52.2,60,40.8,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,5.5,8.0,110.2,150,38.3,40,2290.0,2500,64.9,80,92.3,100,54.0,60,56.2,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,7.3,8.0,132.1,150,32.1,40,1487.6,2500,71.0,80,82.2,100,55.2,60,41.3,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.3,8.0,111.8,150,39.5,40,1971.1,2500,74.2,80,83.0,100,58.2,60,51.8,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,6.8,8.0,145.1,150,25.6,40,1496.2,2500,71.5,80,96.4,100,51.4,60,43.3,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,5.4,8.0,116.9,150,31.4,40,1873.5,2500,77.1,80,90.3,100,40.2,60,46.9,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,7.6,8.0,110.4,150,32.5,40,1208.0,2500,72.9,80,92.2,100,56.3,60,46.4,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,5.8,8.0,122.6,150,27.2,40,1701.6,2500,67.8,80,97.9,100,47.5,60,40.1,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,5.6,8.0,135.3,150,39.3,40,1405.0,2500,74.3,80,80.4,100,53.1,60,42.3,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.1,8.0,128.8,150,26.0,40,2153.4,2500,68.7,80,89.6,100,46.3,60,41.4,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,6.4,8.0,143.4,150,22.0,40,1788.6,2500,77.2,80,98.6,100,59.2,60,42.8,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6.3,8.0,135.3,150,25.4,40,2147.4,2500,68.1,80,91.4,100,55.5,60,48.9,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,7.4,8.0,131.9,150,26.3,40,2172.6,2500,68.6,80,82.6,100,42.0,60,51.5,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,6.7,8.0,120.7,150,27.1,40,1892.3,2500,62.1,80,81.2,100,43.2,60,48.4,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,6.8,8.0,148.7,150,34.0,40,1917.7,2500,78.8,80,91.5,100,52.4,60,53.2,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.5,8.0,129.6,150,36.4,40,2474.5,2500,73.5,80,87.4,100,42.6,60,46.1,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,5.8,8.0,118.8,150,31.4,40,2217.7,2500,60.4,80,82.9,100,57.1,60,58.8,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,7.1,8.0,132.7,150,26.0,40,1874.6,2500,68.5,80,84.5,100,59.9,60,47.5,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,7.0,8.0,123.2,150,31.6,40,1311.1,2500,60.7,80,95.2,100,41.9,60,57.9,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,7.9,8.0,127.5,150,23.1,40,2304.0,2500,73.3,80,81.7,100,46.5,60,49.9,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,5.1,8.0,120.8,150,25.4,40,1061.6,2500,69.6,80,93.0,100,52.6,60,56.8,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.3,8.0,112.9,150,30.5,40,1256.8,2500,71.8,80,90.4,100,55.2,60,57.4,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,5.5,8.0,110.8,150,39.8,40,2379.4,2500,77.2,80,96.4,100,52.3,60,44.4,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,5.4,8.0,127.2,150,38.8,40,1220.4,2500,72.4,80,84.7,100,46.7,60,51.5,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,5.4,8.0,130.8,150,39.9,40,1821.9,2500,61.7,80,95.6,100,45.7,60,51.4,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,5.2,8.0,134.3,150,35.2,40,1944.9,2500,67.2,80,81.7,100,53.3,60,54.8,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,5.4,8.0,143.2,150,33.8,40,1568.4,2500,73.0,80,84.0,100,43.9,60,41.6,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.6,8.0,140.1,150,35.8,40,1011.5,2500,72.0,80,89.4,100,57.1,60,49.8,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,5.2,8.0,129.0,150,28.3,40,1793.4,2500,67.6,80,89.5,100,50.4,60,51.6,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,7.8,8.0,130.6,150,29.6,40,1315.0,2500,64.6,80,87.0,100,54.6,60,40.1,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,5.0,8.0,120.3,150,20.5,40,1687.3,2500,63.4,80,97.6,100,40.9,60,59.4,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,6.1,8.0,127.3,150,37.9,40,1615.7,2500,74.6,80,82.2,100,51.9,60,52.1,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,6.3,8.0,112.9,150,39.0,40,1897.3,2500,69.4,80,84.9,100,44.4,60,48.4,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,7.1,8.0,136.5,150,33.4,40,1516.8,2500,73.1,80,91.3,100,48.9,60,57.5,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,7.8,8.0,147.9,150,34.1,40,1777.2,2500,78.6,80,98.1,100,56.9,60,50.7,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,7.0,8.0,130.7,150,33.4,40,2257.9,2500,78.7,80,86.6,100,48.6,60,48.0,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,7.4,8.0,124.6,150,27.0,40,1218.0,2500,74.5,80,99.1,100,51.2,60,44.9,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,5.8,8.0,126.0,150,31.8,40,2012.8,2500,68.5,80,85.9,100,53.6,60,53.6,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,6.1,8.0,113.5,150,39.8,40,2310.8,2500,72.6,80,90.9,100,57.9,60,59.4,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,7.4,8.0,120.2,150,27.1,40,950.9,2500,75.3,80,81.5,100,54.8,60,41.7,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,7.8,8.0,130.1,150,39.0,40,2214.9,2500,63.8,80,88.5,100,58.7,60,50.7,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6.5,8.0,140.0,150,30.8,40,2476.6,2500,62.3,80,91.8,100,45.6,60,54.3,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,7.9,8.0,122.8,150,25.7,40,2063.5,2500,70.3,80,88.2,100,42.7,60,52.5,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,5.1,8.0,134.3,150,31.3,40,1388.4,2500,76.1,80,88.4,100,55.6,60,55.3,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,5.0,8.0,143.9,150,20.4,40,1649.5,2500,62.6,80,90.5,100,51.1,60,58.2,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,7.4,8.0,137.4,150,30.0,40,968.8,2500,66.8,80,95.7,100,57.1,60,42.2,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,6.8,8.0,134.0,150,21.1,40,1769.1,2500,78.5,80,83.6,100,49.6,60,55.9,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,7.1,8.0,128.0,150,26.2,40,1420.5,2500,67.8,80,99.0,100,44.2,60,42.7,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,5.7,8.0,128.8,150,22.8,40,1359.4,2500,69.8,80,98.6,100,43.3,60,41.1,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,7.1,8.0,130.7,150,24.7,40,1116.5,2500,63.2,80,95.2,100,54.2,60,44.1,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,7.7,8.0,130.8,150,21.0,40,1412.6,2500,69.1,80,98.8,100,51.7,60,57.7,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,7.2,8.0,121.0,150,33.8,40,2174.5,2500,78.7,80,98.7,100,59.1,60,50.0,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,5.7,8.0,143.6,150,26.2,40,1736.0,2500,66.0,80,95.1,100,45.1,60,46.9,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6.3,8.0,125.8,150,39.2,40,2348.3,2500,79.3,80,90.7,100,47.1,60,48.2,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,6.2,8.0,144.0,150,38.8,40,945.2,2500,63.6,80,84.2,100,44.3,60,51.5,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,5.6,8.0,118.0,150,38.5,40,2224.2,2500,61.3,80,92.3,100,41.0,60,47.7,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,6.2,8.0,114.2,150,22.0,40,2400.1,2500,76.2,80,94.9,100,43.7,60,45.2,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.2,8.0,129.2,150,28.0,40,1987.6,2500,62.4,80,90.5,100,45.6,60,56.8,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,5.6,8.0,117.0,150,25.2,40,2251.6,2500,66.7,80,86.3,100,58.2,60,43.1,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6.9,8.0,133.4,150,22.8,40,1119.3,2500,75.3,80,83.7,100,54.4,60,54.2,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,7.2,8.0,144.2,150,33.1,40,1154.2,2500,73.6,80,100.0,100,46.1,60,54.1,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,5.0,8.0,115.9,150,28.6,40,2372.8,2500,65.6,80,99.4,100,40.1,60,54.7,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,5.2,8.0,148.9,150,32.1,40,2049.8,2500,70.7,80,93.4,100,46.7,60,58.2,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,7.9,8.0,120.4,150,25.7,40,2346.4,2500,64.7,80,93.3,100,52.8,60,45.5,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,5.4,8.0,135.0,150,35.0,40,1837.7,2500,60.2,80,83.9,100,42.7,60,50.2,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,7.6,8.0,144.0,150,36.1,40,2248.8,2500,68.3,80,97.4,100,43.3,60,50.4,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,7.4,8.0,139.6,150,35.7,40,1353.0,2500,71.0,80,80.5,100,54.3,60,49.1,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,7.9,8.0,119.1,150,38.7,40,2266.2,2500,74.1,80,91.8,100,41.4,60,45.9,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,6.0,8.0,136.0,150,38.1,40,2130.1,2500,68.1,80,87.9,100,58.5,60,58.2,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,6.1,8.0,130.2,150,31.8,40,912.9,2500,73.3,80,94.3,100,40.0,60,48.3,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,6.5,8.0,112.3,150,21.4,40,2474.7,2500,67.2,80,86.2,100,59.7,60,45.2,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6.1,8.0,117.2,150,26.5,40,2212.3,2500,63.7,80,87.2,100,59.6,60,53.3,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,5.1,8.0,141.1,150,39.1,40,1517.2,2500,79.1,80,81.3,100,59.2,60,55.7,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,7.5,8.0,142.3,150,28.8,40,1176.5,2500,66.1,80,92.5,100,44.7,60,43.1,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,6.6,8.0,129.7,150,34.0,40,1114.8,2500,70.7,80,80.5,100,57.3,60,51.4,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,6.4,8.0,147.0,150,33.1,40,976.5,2500,68.2,80,82.1,100,40.9,60,50.0,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,5.9,8.0,124.7,150,39.5,40,1677.4,2500,72.4,80,89.1,100,40.2,60,47.1,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,7.2,8.0,141.8,150,26.7,40,1537.3,2500,63.1,80,86.6,100,40.1,60,53.9,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,7.4,8.0,136.3,150,38.1,40,1287.2,2500,65.2,80,96.6,100,54.9,60,58.1,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,5.7,8.0,135.8,150,26.8,40,2155.8,2500,73.7,80,81.5,100,58.8,60,51.2,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,6.4,8.0,112.6,150,29.4,40,2200.2,2500,69.7,80,89.6,100,57.1,60,48.8,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,6.9,8.0,142.1,150,34.3,40,1605.2,2500,60.1,80,92.2,100,56.9,60,45.4,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,6.8,8.0,147.1,150,22.2,40,2442.0,2500,64.5,80,92.5,100,50.1,60,51.9,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,7.7,8.0,149.6,150,24.4,40,2322.8,2500,80.0,80,97.3,100,57.5,60,59.4,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,5.7,8.0,129.9,150,33.3,40,1108.6,2500,72.8,80,83.3,100,53.0,60,41.4,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,5.3,8.0,138.5,150,25.0,40,2389.0,2500,72.7,80,94.5,100,58.5,60,55.5,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,7.3,8.0,116.5,150,25.4,40,1657.7,2500,74.9,80,80.2,100,45.6,60,49.8,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,6.3,8.0,113.6,150,21.4,40,1543.2,2500,66.8,80,94.1,100,40.6,60,52.4,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,6.1,8.0,145.6,150,31.1,40,1605.1,2500,66.4,80,82.4,100,43.4,60,50.2,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6.4,8.0,119.0,150,25.6,40,2027.9,2500,69.3,80,94.2,100,40.5,60,41.1,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,6.7,8.0,111.4,150,33.9,40,1963.8,2500,67.2,80,83.4,100,51.1,60,47.2,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,6.8,8.0,149.9,150,37.3,40,1164.6,2500,75.2,80,90.8,100,43.7,60,47.6,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,7.4,8.0,130.3,150,30.3,40,1610.7,2500,68.2,80,83.4,100,49.8,60,41.4,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.9,8.0,115.3,150,25.7,40,2173.0,2500,78.4,80,88.0,100,58.1,60,55.4,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,7.3,8.0,113.7,150,28.3,40,2112.7,2500,65.0,80,83.7,100,55.8,60,50.0,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6.6,8.0,112.9,150,39.4,40,2284.8,2500,69.2,80,88.4,100,48.0,60,46.9,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,8.0,8.0,133.4,150,23.5,40,1833.2,2500,76.0,80,97.1,100,49.2,60,53.2,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,5.9,8.0,113.7,150,30.7,40,942.2,2500,69.2,80,94.1,100,50.3,60,45.3,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,5.1,8.0,126.9,150,22.6,40,1803.0,2500,63.2,80,86.7,100,51.4,60,43.6,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,7.0,8.0,131.9,150,25.8,40,1914.7,2500,62.9,80,82.1,100,48.5,60,49.9,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,7.0,8.0,141.3,150,31.7,40,1712.9,2500,73.8,80,89.5,100,47.8,60,40.2,60
rice,cereals,Clay soil,kharif,Jun,Sep,irrigated,6.1,8.0,141.2,150,22.7,40,1646.8,2500,64.7,80,89.0,100,47.6,60,49.2,60
rice,cereals,Alluvial soil,kharif,Jul,Oct,rainfed,5.4,8.0,125.3,150,37.1,40,1491.2,2500,76.6,80,91.5,100,52.4,60,57.7,60
rice,cereals,Loamy soil,kharif,Jun,Sep,irrigated,6.9,8.0,140.0,150,23.1,40,2377.9,2500,70.3,80,87.3,100,41.1,60,41.7,60
rice,cereals,Clay soil,kharif,Jul,Oct,rainfed,6.6,8.0,133.6,150,26.6,40,1343.1,2500,70.9,80,88.4,100,50.4,60,48.2,60
rice,cereals,Alluvial soil,kharif,Jun,Sep,irrigated,5.4,8.0,123.6,150,32.7,40,2470.7,2500,76.4,80,95.0,100,48.4,60,55.7,60
rice,cereals,Loamy soil,kharif,Jul,Oct,rainfed,7.1,8.0,122.6,150,23.8,40,1207.8,2500,70.6,80,98.6,100,59.4,60,47.6,60
